trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,9,-23.27216371321328,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",30,0,-118.11620903543319,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,5,-18.166048753946377,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",35,7,-13.535578663178141,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,4,12.691543894961889,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,13,-78.33853663145423,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-50.76732745395638,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-12.218522402460586,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,10,-46.29057585491911,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-83.50726992588108,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",30,0,-117.5622780463291,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,-5.171699498303575,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,0,-88.20149399832115,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",30,1,-2.705594790377186,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-42.915344405919825,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-18.126150983253968,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,-5.643145298819628,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,10,-13.075087685315996,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,15,-0.18889634989331916,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,0.7538382921570335,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,13,9.913673153545004,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,16,-34.90111999013933,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",35,0,-0.6126185087065608,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,7,22.388954121703897,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,6,-1.7225168797640387,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,11,-68.26060554953361,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,2.811980140121029,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,8,-39.77503490116762,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,18,11.083857894499511,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,0,-27.8112016765527,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,1,-11.420583112348101,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,10,14.655420786904784,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,11,-3.333896271343429,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,2,-2.200688909397691,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,0,-52.16184907111973,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,15,-0.3492271071208939,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,12,-28.560346010419956,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,0,-41.87449346131454,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,14,19.23806389856425,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",25,17,16.613760373938238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,8,-67.48498115038704,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,8,-36.24336064691948,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,15,-36.68455569927381,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,12,14.437087449352864,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,14,7.647640046060278,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,9,20.768848406357446,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,12,-72.36034827341527,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,14,0.490144220919708,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,5,3.4719924542302163,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,5,-19.2831396867369,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",20,0,-16.43038929845893,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,16,8.066595055995155,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,9,11.908146534123471,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,11,13.022376050614893,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",20,12,11.414097691880666,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,13,23.471208800387927,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",20,6,0.47510776697837165,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",30,20,15.963295667869762,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",20,8,10.91549595845821,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",25,10,11.317187301319349,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",20,0,28.895610428977474,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,10,6.9659912555388885,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,0,-24.097229892397014,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
